"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.00030972627081654,250,91,10,0.10989010989011,0.04,"GO:0071216","GO:BP","cellular response to biotic stimulus",21031,16976,"GO:0009607, GO:0051716"
"query_1",TRUE,0.000315307387616851,319,91,11,0.120879120879121,0.0344827586206897,"GO:0044403","GO:BP","biological process involved in symbiotic interaction",21031,11370,"GO:0044419"
"query_1",TRUE,0.000498554165740287,495,91,13,0.142857142857143,0.0262626262626263,"GO:0002683","GO:BP","negative regulation of immune system process",21031,1208,"GO:0002376, GO:0002682, GO:0048519"
"query_1",TRUE,0.000639979875765423,5959,91,49,0.538461538461538,0.00822285618392348,"GO:0007165","GO:BP","signal transduction",21031,2760,"GO:0007154, GO:0009987, GO:0023052, GO:0050794, GO:0051716"
"query_1",TRUE,0.00077960485911762,3437,91,35,0.384615384615385,0.010183299389002,"GO:0023051","GO:BP","regulation of signaling",21031,6876,"GO:0023052, GO:0050789"
"query_1",TRUE,0.000795546916739713,211,91,9,0.0989010989010989,0.042654028436019,"GO:0051701","GO:BP","biological process involved in interaction with host",21031,14356,"GO:0044403"
"query_1",TRUE,0.00081435029360457,34,91,5,0.0549450549450549,0.147058823529412,"GO:0002230","GO:BP","positive regulation of defense response to virus by host",21031,770,"GO:0050691"
"query_1",TRUE,0.00101758039777315,6447,91,51,0.56043956043956,0.00791065611912518,"GO:0023052","GO:BP","signaling",21031,6877,"GO:0050789"
"query_1",TRUE,0.00161101645210205,1984,91,25,0.274725274725275,0.0126008064516129,"GO:0012501","GO:BP","programmed cell death",21031,4630,"GO:0008219"
"query_1",TRUE,0.00165316364009536,5541,91,46,0.505494505494505,0.00830175058653673,"GO:0048523","GO:BP","negative regulation of cellular process",21031,13231,"GO:0009987, GO:0048519, GO:0050794"
"query_1",TRUE,0.00167263992393594,1988,91,25,0.274725274725275,0.0125754527162978,"GO:0008219","GO:BP","cell death",21031,3180,"GO:0009987"
"query_1",TRUE,0.00178325501449307,73,91,6,0.0659340659340659,0.0821917808219178,"GO:0032481","GO:BP","positive regulation of type I interferon production",21031,7864,"GO:0001819, GO:0032479, GO:0032606"
"query_1",TRUE,0.00185428520250628,5,91,3,0.032967032967033,0.6,"GO:0140639","GO:BP","positive regulation of pyroptosis",21031,20408,"GO:0043068, GO:0070269"
"query_1",TRUE,0.00223824196435886,3420,91,34,0.373626373626374,0.00994152046783626,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",21031,4301,"GO:0009893, GO:0043170, GO:0060255"
"query_1",TRUE,0.00262110945572396,3443,91,34,0.373626373626374,0.00987510891664246,"GO:0010646","GO:BP","regulation of cell communication",21031,4342,"GO:0007154, GO:0050794"
"query_1",TRUE,0.00273207179423977,43,91,5,0.0549450549450549,0.116279069767442,"GO:0060338","GO:BP","regulation of type I interferon-mediated signaling pathway",21031,15016,"GO:0001959, GO:0045088, GO:0060337"
"query_1",TRUE,0.00317258603375479,249,91,9,0.0989010989010989,0.036144578313253,"GO:0034612","GO:BP","response to tumor necrosis factor",21031,8988,"GO:0034097"
"query_1",TRUE,0.00369693442190818,6,91,3,0.032967032967033,0.5,"GO:0032020","GO:BP","ISG15-protein conjugation",21031,7583,"GO:0032446"
"query_1",TRUE,0.00369693442190818,6,91,3,0.032967032967033,0.5,"GO:0140970","GO:BP","AIM2 inflammasome complex assembly",21031,20520,"GO:0065003"
"query_1",TRUE,0.00369693442190818,6,91,3,0.032967032967033,0.5,"GO:0051715","GO:BP","cytolysis in another organism",21031,14363,"GO:0019835, GO:0031640"
"query_1",TRUE,0.00377364279963319,188,91,8,0.0879120879120879,0.0425531914893617,"GO:0050777","GO:BP","negative regulation of immune response",21031,13680,"GO:0002683, GO:0006955, GO:0048585, GO:0050776"
"query_1",TRUE,0.00385095481004323,46,91,5,0.0549450549450549,0.108695652173913,"GO:0050691","GO:BP","regulation of defense response to virus by host",21031,13650,"GO:0050688"
